Abbreviations,Meaning
ω,Frequency
%,Percentage
1-T,1-Trichloroethane; Trichloroethate
1D,One Dimensional
1T-1C,1 Transistor/1 Capacitor
1T-2C,1 Transistor/2 Capacitor
2D,Two Dimensional
2DEG,Two Dimensional Electron Gas
3D,Three Dimensional
4G,4th Generation
A&P,Assembly And Packaging
A-GEMTF,Advanced Gem Task Force
A/D,Analog To Digital
A/R,Aspect Ratio
AA,Atomic Absorption; Anti-Alias
AAF,Assembly Analytical Forum 
AAS,Atomic Absorption Spectroscopy
AAS/GFAAS,Atomic Absorption Spectroscopy/Graphite Furnace Atomic Absorption Spectroscopy
ABC,Activity-Based Costing; Auto-Adjustment Of Image Brightness And Contrast
ABM,Activity-Based Management
ABS,Antilock Braking System
ABT,Abrasive Technology
ABW,Apparent Beam Width
AC,Alternating Current; Activated Carbon
ACCESS,Analysis Computer For Component Engineering Services Support
ACF,Anisotropic Conductive Film
ACGHIC,American Conference Of Governmental Industrial Hygienists
ACI,After Clean Inspection
ACLV,Across-Chip Linewidth Variation
ACP,Anisotropic Conductive Paste
ACPR,Adjacent Channel Power Ratio
ACT,Alternative Control Techniques; Actual Cycle Time
ADC,Analog-To-Digital Converter; Automated Data Collection; Automatic Defect Classification
ADC/DAC,Analog-Digital Converter/Digital-Analog Converter
ADDR,To Be Filled In
ADE,Advanced Development Environment; Annular Dark Field
ADI,After Develop Inspection
ADIG,Application Development Interface Guidelines
ADIO,Analog/Digital Input/Output
ADL,Add Lot
ADP,Administrative Data Processing
ADR,Automatic Defect Review
ADSL,Asymmetrical Digital Subscriber List
ADT,Applied Diagnostic Techniques
ADTSEM,Apply/Develop Track Specific Equipment Model
AE,Atomic Emission; Acoustic Emission; Absolute Ellipsometry; Advanced Energy
AEC,Advanced Equipment Controller
AECS,Advanced Equipment Control System; Automated Equipment Control System
AEI,After Etch Inspection; Automated Equipment Interface
AEM,Analytical Electron Microscopy
AES,Auger Emission Spectroscopy; Auger Electron Spectroscopy
AET,Accelerated Environmental Test
AEX,Acid Exhaust
AFD,Application Framework Definition
AFM,Atomic Force Microscopy
AFP,Abrasive-Free Polish
AGC,Automatic Gain Control
AGREE,Advisory Group Reliability Of Electronic Equipment
AGV,Automated Guided Vehicle
AHF,Anhydrous Hydrogen Fluoride
AHU,Air Handling Unit
AI,Artificial Intelligence
AIAG,Automotive Industry Action Group
AIMS,Aerial Image Microscope
AIR,Automated Image Retrieval
ALCVD,Atomic Layer Chemical Vapor Deposition
ALD,Atomic Layer Deposition
ALE,Atomic Layer Epitaxy; Application Logic Element
ALID,Alarm Event Identifier
ALS,Advanced Light Source (Lbnl); Advanced Low-Power Schottky
ALT,Accelerated Life Test
ALU,Arithmetic Logic Unit
AMC,Airborne Molecular Contamination
AMH,Automated Material Handling
AMHS,Automated Material Handling System
AML,Automatic Model Linking
AMS,Analog/Mixed-Signal
AMSRF,Analog
AMT,Advanced Manufacturing Technology
AMU,Atomic Mass Unit
ANN,Artificial Neural Network
ANOVA,Analysis Of Variance
ANS,Advanced Nanodefect Surface Inspection System
ANSI,American National Standards Institute
AOI,Automatic Optical Inspection
AOQL,Average Outgoing Quality Level
AOV,Air-Operated Valve
AP,Adhesion Promoter
APA,Advanced Performance Algorithm
APC,Advanced Process Control
APCD,Add-On Pollution Control Devices
APCFI,Advanced Process Control Framework Initiative
APCVD,Atmospheric Pressure Chemical Vapor Deposition
APD,Adhesion Promoter Dispense
APDs,Generally Avalanche Photodiodes
APEC,Advanced Process Equipment Control
APG,Algorithmic Pattern Generator
API,Application Programming Interface; Atmospheric Pressure Ionization; Application Programmer'S Interface
APIMS,Atmospheric Pressure Ionization Mass Spectroscopy
APM,Atmospheric Passivation Module; Acoustic Plate Mode; Ammonium Hydroxide/Hydrogen Peroxide Mixture
APQP,Advanced Product Quality Planning
APRDL,Advanced Products Research And Development Laboratory
APS,Active Pixel Sensor
APT,Advanced Probe Technology; Anti-Punchthrough
AQ,Administrative Quality
AQI,Access Query Interface
AQL,Acceptance Quality Level: Acceptable Quality Level
AQTX,Aquatic Toxicity
AR,Aspect Ratio; Antireflective
ARAMS,Automated Reliability
ARC,Antireflective Coating
ARDE,Aspect Ratio-Dependent Etching
ARIMA,Auto Regressive Moving Average With Integration
ARO,After Receipt Of Order
ARPA,Advanced Research Projects Agency (See Darpa)
ARRC,Advanced R2R Control
ARS,Angle-Resolved Scattering
AS/RS,Automated Storage And Retrieval System
ASAP,Advanced Stepper Application Program; As Soon As Possible
ASHRAE,American Society Of Heating Refrigeration And Airconditioning Engineers
ASIC,Application Specific Integrated Circuit
ASIC/LP,Low Power Asic
ASICs,Application Specific Integrated Circuits
ASME,American Society For Mechanical Engineering
ASO,Automatic Shutoff
ASP,Advanced Strip And Passivation; Advanced Strip Processor; Average Selling Price
ASR,Automated Send Receive
ASSP,Application-Specific Standard Product
AST,Accelerated Stress Test
ASTM,American Society For Testing And Materials
ASV,Advanced Safety Vehicle
ATA,Advanced Test Accelerator
ATDF,Advanced Tool Development Facility
ATE,Automatic Test Equipment
ATF,Automation Test Facility (Recently Renamed Sil)
ATG,Automatic Test Generation
ATLAS,Abbreviated Test Language For All Systems
ATP,Advanced Technology Program; Adenosine Triphosphate; Acceptance And Tool Performance; Advanced Tool Program
ATPG,Automatic Test Pattern Generation
ATR,Attenuated Total Reflectance
ATR-FTIR,Attenuated Total Reflectance Fourier Transform Infrared Spectroscopy
ATS,Aggressive Thread Seal
AVA,Automatic Variable Aperture
AVP,Advanced Vertical Processor
AVR,Applied Voltage Ratio
AVRs,Applied Voltage Ratios
AVS,Advanced Visualization System
AWE,Asymptotic Waveform Evaluation
AWG,Array Waveguide Gratings
AWG/Sin,Arbitrary Waveform Generations/Sine Wave
AWISPM,Above-Wafer In Situ Particle Monitoring
AWS,Advanced Wet Station
Ac,Actinium
Ad,Analog Design
Ag,Silver
Al,Aluminum
AlF,Aluminum Fluoride
Alt,Alternating
Am,Americium
Ar,Argon
ArF,Exposure Wavelength
As,Arsenic
At,Astatine
Att,Attenuated
Au,Gold
B,Billion; Boron
BACT,Best Available Control Technology
BARC,Backside Antireflective Coating
BASE,Boston Area Semiconductor Education (Council)
BAW,Bulk Acoustic Wave
BC,Bias Contrast
BCAD ,Business Computer-Aided Manufacturing
BCB,Benzocyclobutene
BCD,Binary Coded Decimal; Bulk Chemical Distribution
BD,Breakdown
BDEV,Behavior-Level Deviation
BDS,Brownian Dynamics Simulation; Beam Delivery System
BED,Boron Enhanced Diffusion
BEI,Backscattered Electron Imaging
BEM,Backside Emission Microscopy
BENU,Bull'S Eye Nonuniformity
BEOL,Back End-Of-Line
BER,Bit Error Rate
BERT,Bit Error Rate Tester
BES,Backscatter Electron Signal
BESOI,Bonded And Etchback Soi
BF,Brightfield I
BFA,Bouncing Failure Analysis
BFGS,Broyden-Fletcher-Goldfarb-Shanno Optimization Algorithm
BFL ,Buffered Field-Effect-Transistor Logic
BGA,Ball Grid Array
BGAs,Ball Grid Arrays
BGBC,Gate Bottom Contact
BGS,Bulk Gas System
BHT,Brinell Hardness Test
BI,Burn In
BIFET,Bipolar Field-Effect Transistor
BILLI,P+ Buried Layer
BIM,Binary Intensity Mask
BIR,Building-In Reliability
BIRA,Built-In Redundancy Allocation
BISR,Built-In Self Repair
BIST,Built-In Self Test
BIT,Bulk Ion Temperature
BITE,Built-In Test Equipment
BJT,Bipolar Junction Transistor
BKM,Best Known Methods
BLD,Beam Lead Device
BLEVE,Boiling Liquid Expanding Vapor Explosion
BLOK,Barrier Low-K
BLT,Bismuth Lanthanum Titanate; (Bi
BMC,Bubble Memory Controller
BMD,Bulk Micro Defect
BME,Base Metal Electrode
BOE,Buffered Oxide Etchant
BOR,Bottom Of Range
BOSS,Book Of Semi Standards; Binary Object Storage System; Burn-Out Of Sacrificial Substances
BOST,Built Off-Chip Self Test
BOX,Buried Oxide
BPE,Beam Profile Ellipsometry
BPR,Beam Profile Reflectometry; Business Process Re-Engineering
BPSG,Boro Phosphosilicate Glass
BPTEOS,Borophosphosilicate Glass From A Teos Oxysilane Source
BSE,Backscattered Electron Detection
BSEs,Topology Differences Backscattered Electrons
BSR,Backside Rinse
BST,Barium Strontium Titanate
BT,Bismallimide Triazene
BTAB,Bumped Tape Automated Bonding
BTS,Biased Thermal Stress
BV,Breakdown Voltage
BVH,Buried Via Hole
BVcbo,Collector Base Breakdown Voltage With Open Emitter
BVceo,Collector Emitter Breakdown Voltage With Open Base
BVdgo,Drain And Gate Breakdown Voltage With Open Source
BVdso,Drain Source Breakdown Voltage With Open Gate
BW,Bandwidth
Ba,Barium
Be,Beryllium
Bi,Bismuth
BiCMOS,Bipolar Complementary Metal-Oxide Semiconductor
BiMOS,Bipolar Metal-Oxide Semiconductor
BiR,Building In Reliability
BioMEMS,Biological Mems
Bk,Berkelium
Br,Bromine
C,Carbon; Capacitance
C-SAM,C-mode Scanning Acoustic Microscopy
C-V,Capacitance-To-Voltage
C-to-C,Cassette-To-Cassette
CA ,Cim Architecture; Clear Aperture
CAA,Cim Applications Architecture
CAB,Competitive Analysis Benchmarking
CAD,Computer-Aided Design
CADS,Computer Aided Design System
CADT,Control Application Development Tool
CAE,Computer-Aided Engineering
CAF,Controlled Ambient Facility
CAFM,Conductive Atomic Force Microscopy
CAG,Competitive Analysis Group
CAI,Computer-Assisted Instruction
CALCE,Computer-Aided Life-Cycle Engineering
CALS,Computer-Aided Logistics Support (Air Force Program)
CAM,Computer-Aided Manufacturing
CAP,Consumables Acceleration Program
CAPS,Computer-Assisted Problem Solving
CAR,Computer-Aided Research
CARC,Critical Aspect Ratio Collapse
CARL,Chemically Amplified Resist Lithography
CARR,Compound Annual Reduction Rate
CARRI,Computerized Assessment Of Relative Risk Impacts
CASE,Computer-Aided Software Engineering; Computer-Aided Systems Engineering
CAT,Computer-Aided Testing; Cassette Alignment Tool
CATV,Community Access Television or Community Antenna Television
CAW,Construction Analysis Workgroup
CAWC,Cryogenic Aerosol Wafer Cleaning
CBD,Chemical Bath Deposition
CBGA,Ceramic Ball Grid Array
CBIR,Content-Based Image Retrieval
CBL,Bitline Capitance Per Cell
CBR,Based Reasoning
CBS,Chemical Bottle Storage Area
CBT,Computer-Based Training
CC,Chip Carrier; Cluster Controller
CCC,Ceramic Chip Carrier
CCD,Charge-Coupled Device
CCGA,Ceramic Column Grid Array
CCOS,Computer-Controlled Optical Surfacing
CCS,Constant Current Stress
CCSL,Compatible Current-Sinking Logic
CCSs,Constant Current Stresses
CCVC,Capacitive Coupling Voltage Contrast
CCW,Counterclockwise
CD,Critical Dimension
CD-ROM,Compact Disk Read-Only Memory
CD/OL,Critical Dimension Overlay
CDA,Clean Dry Air
CDC,Chemical Data Council
CDE,Chemical Downstream Etch
CDEM,Customer Delivery Enterprise Model
CDEs,Cable Discharge Events
CDG,Ceramic Diaphragm Gauge
CDI,Collector-Diffusion Isolation
CDM,Common Device Model For Sab
CDMA,Code Division Multiple Access
CDO,Controlled Decomposition/Oxidation
CDR,Chemical Distribution Room; Data Recovery Circuits
CDU,Chemical Dispense Unit
CE,Capillary Electrophoresis
CEC,Cell Evaluation Chip
CEE,Control Execution Environment
CEID,Collection Event Identifier
CEM,Continuous Emissions Monitoring
CEN,Change Engineering Notice
CEP,Chemically Enhanced Planarization
CEPT,Comets Equipment Performance Tracking
CER-DIP,Ceramic Dual In-Line Package
CERDIP,Ceramic Dual-In-Line Package
CERQUAD,Ceramic QUAD Flat Package
CESL,Contact Etch Stop Layer
CFA,Component Failure Analysis
CFC,Chlorofluorocarbon
CFD,Computational Fluid Dynamics
CFE,Cold Field Emission
CFI,Cad Framework Initiative
CFM,Contamination-Free Manufacturing
CFMRC,Contamination-Free Manufacturing Research Center
CFR,Constant Failure Rate
CFT,Cross-Functional Team
CFU,Colony Forming Unit
CGA,Compressed Gas Association
CHC,Channel Hot Carrier
CHE,Channel Hot Electrons
CHEs,Carriers Channel Hot Electrons
CHP,Coat Hotplate
CHR,Communication History Report
CI,Carrier Illumination; Confidence Interval
CIC,Cleanroom Interface Chamber
CID,Charge-Injection Device
CIE,Computer-Integrated Engineering
CIM,Computer-Integrated Manufacturing
CIM-OSA,Computer-Integrated Manufacturing-Open Systems Architecture (Esprit Program)
CIP,Continuous Improvement Program
CIS,Center For Integrated Systems
CISC,Complex Instruction Set Computer
CLC,Cancel Lot Cycle
CLCC,Ceramic Leaded Chip Carrier
CLIC,Closed-Loop Intensity Control
CLSM,Confocal Laser Scanning Microscopy
CLY,Circuit-Limited Yield
CM,Configuration Management; Cassette Module
CMA,Cylindrical Mirror Analyzer
CMC,Cassette Module Controller
CML,Current Mode Logic
CMM,Capability Maturity Model; Coordinate Measuring Machine
CMOS,Complementary Metal-Oxide-Silicon; Complementary Metal-Oxide Semiconductor
CMP,Chemical Mechanical Planarization; Chemical Mechanical Polishing
CMR,Common-Mode Rejection Ratio; Cancel Move Request
CMS,Coordinate Measuring System
CMUG,Cost Modeling Users Group
CNC,Computer Numerical Control; Condensation Nucleus Counter; Condensed Nucleus Counter
CNN,Cellular Non-Linear Network; Cellular Neural Network
CNS,Central Nervous System
CNT,Carbon Nanotube
CNTs,Carbon Nanotubes
COB,Chip-On-Board
COC,Cost Of Consumables
CODEC,Coder-Decoder
COED,Computer Optimized Experimental Design
COGS,Cost Of Goods Sold
COO,Chief Operating Officer
COOL,Cost Of Ownership Luminator (Wright
COP,Crystal Originated Pit
COPS,Crystal Oriented Pits
CORBA,Common Object Request Broker Architecture
CORE,Composite Object Reference
COS,Coronoa-Oxide-Semiconductor
COSS,Common Object Services Specification
COT,Customer-Owned Tooling
COTS,Commercial Off-The-Shelf
COV,Coefficient Of Variance
CP,Cost-Performance; Chip Place
CP/M,Computer Program/Maintenance
CPA,Commerical Product Adhesive
CPD,Concurrent Product Development
CPE,Communications
CPGA,Ceramic Pin Grid Array
CPI,Continuous Process Improvement
CPM,Chamber Pressure Management
CPMT,Packaging And Manufacturing Technology
CPU,Central Processing Unit
CQED,Cavity Quantum Electrodynamics
CQFP,Ceramic Quad Flat Pack
CQN,Closed-Queuing Network
CRADA,Cooperative Research And Development Agreement
CRC,Cyclic Redundancy Check
CRM,Cost/Resource Model; Certified Reference Materials
CRT,Cathode Ray Tube
CSA,Cim Systems Architecture
CSD,Chemical Solution Deposition
CSE,Control Systems Engineering
CSF,Critical Success Factor
CSG,Silicon On Glass
CSIC,Ieee Compound Semiconductor Ic
CSL,Current-Steering Logic
CSLM,Confocal Scanning Laser Microscope
CSM,Continuous Stiffness Measurement
CSMA/CD,Carrier-Sense
CSP,Chip-Scale Package
CSPED,Concurrent Semiconductor Production And Equipment Development
CST,Cim Systems Technology
CSTR,Continuously Stirred Tank Reactor
CSV,Comma-Separated Variable; Comma-Separated Value
CT,Cycle Time
CTC,Cluster Tool Controller
CTE,Coefficient Of Thermal Expansion; Center-To-Edge
CTI,Computer-Telephone Integration; Cycle Time Improvement
CTL,Complementary Transistor Logic
CTMC,Cluster Tool Modular Communications
CTR,Current Transfer Ratio
CUB,Central Utility Building
CUBES,Capacity Utilization Bottleneck Efficiency System
CUI,Common User Interface
CUSUM,Cumulative Sum
CV,Capacitance Voltage
CV-BTS,Capacitance-To-Voltage Iased Thermal Stress
CV/I,Intrinsic Transistor Delay
CVA,Continuous Variable Aperture
CVC,Chemical Vapor Cleaning
CVCM,Collected Volatile Condensable Materials
CVD,Chemical Vapor Deposition
CVS,Cyclic Voltammetry Stripping
CW,Continuous Wave; Clockwise
CWL,Wordline Capacitance Per Cell
CWS,Chilled Water System
CYM,Cycle Model
CZ,Czochralski
Ca,Calcium
Cb,Columbiun
Cd,Cadmium
Ce,Cerium
Cf,Californium
Cgate,Gate Capacitance
Cl,Chlorine
Cm,Curium
Co,Cobalt
CoO,Cost Of Ownership
CoV,See Cov
CoWP,Cobalt Tungsten Phosphide
Cox,Oxide Capacitance
Cp,Process Capability
Cparasitic,Parasitic Capacitance
Cpk,Process Capability Index
Cr,Chromium
Cr ,Chromium
Cs,Cesium
Cu,Copper
Cz,Czochralski Process
D,Deuterium
D/A,Digital To Analog
D/B,Die Bonding
D/I,Develop Inspect; Dense Vs. Isolated
D0,Defect Density
DAC,Digital-To-Analog Converter; Dielectric Aging Chamber
DAFs,Die Attach Films
DAHCs,Field Drain Avalanche Hot Carriers
DARPA,Defense Advanced Research Projects Agency (See Arpa)
DAS,Direct Absorption Spectroscopy
DASSL,Differential Algebraic System Solver
DAT,Direct Access Dft
DB,Dielectric Breakdown
DBIE,Db Induced Epitaxy
DBMS,Database Management System
DBP,Data Processing Board
DBS,Dual Beam Spectroscopy
DC,Direct Current
DC-DC,Dc To Dc Conversion
DCA,Direct Chip Attachment
DCATS,Double-Contained Acid Transfer System
DCCF,Discounted Cumulative Cash Flow
DCE,Distributed Computer Environment
DCFL,Direct Coupled Fet Logic
DCG,Distortion Calibration Grid; Domain Coordination Group
DCL,Digital Command Language; Display Communication Log
DCS,Dichlorosilane; Digital Cellular Service
DCV,Direct Contact Via
DCVD,Dieletric Chemical Vapor Deposition
DD,Defect Density
DDAF,Dicing Die Attach Film
DDH,Direct-To-Digital Holography
DDL,Device Description Language
DDMS,Defect Data Management System
DECT,Digital European Cordless Telephone
DEDS ,Discrete-Event Dynamic Simulation
DEE,Detailed Equipment Events
DEMO,Demonstration
DEMUX,To Be Filled In
DES,Data Encryption Standard; Display Equipment Status
DF,Darkfield
DFC,Densified Fluid Clean
DFE,Dual Frequency Etch
DFESH,Design For Esh
DFFA,Design For Failure Analysis
DFLP,Design For Low Power
DFM,Design For Manufacture; Design For Manufacturability
DFR,Design For Reliability
DFS,Design for Safety
DFSS,Design For Six Sigma
DFT,Design For Testability; Design For Test
DG,Double Gate
DGM,Dynamic Grid Matching
DGSOI,Double-Gate Silicon-On- Insulator
DHF,Dilute Hydrofluoric Acid
DI,Deionized; Dielectric Isolation
DIBL,Drain-Induced Drain Leakage; Drain-Induced Barrier Lowering
DIC,Differential Interference Contrast
DICE,Darpa Initiative In Concurrent Engineering
DIL,Dual Inline
DIMM,Dual In-line Memory Module
DIP,Dual Inline Package
DJ,Deterministic Jitter
DLBI,Device Level Burn-In
DLL,Dynamic Link Library; Data Link Layer; Delay Lock Loop; Design Limit Load
DLM,Dual-Level Metal
DLOC,Developed Source Lines Of Code
DLS,Display Lot Status
DLT,Device Level Test
DLTS,Deep Level Transient Spectroscopy
DM,Defect Management
DMA,Direct Memory Access; Dynamic Mechanical Analysis
DMD,Digital Micromirror Device
DMH ,Display Message Helps
DML,Data Manipulation Language; Display Message Log
DMM,Digital Multimeter
DMOS,Diffused Metal-Oxide Semiconductor
DMR,Display Move Requests
DMS,Data Management Standard; Data Management System
DNN,Dark Narrow Normal
DNO,Dark Narrow Oblique
DO,Dynamic Optimization; Dissolved Oxygen
DOA,Dead-On Alignment
DOAS,Differential Optical Absorption Spectroscopy
DOE,Design Of Experiments
DOF,Depth Of Field; Depth Of Focus
DOP,Dioctylphthalate
DOS,Disk Operating System
DOTS,Digital-Optical Technology System
DPA,Destructive Physical Analysis
DPB,Data Processing Board
DPI,Dots Per Inch
DPM,Digital Panel Meter
DPPM,Defects Parts Per Million
DPS,Display Process Status; Decoupled Plasma Source; Digital Power Supply
DPSRAM,Dual-Port Static Random Access Memory
DRAM,Dynamic Random Access Memory
DRAMs,Intact Dynamic Random Access Memories
DRAPAC,Design Rule And Process Architecture Council
DRC ,Design Rule Check
DRE,Destruction Removal Efficiency
DRIFTS,Diffuse Reflectance Infrared Fourier Transform Spectroscopy
DRT,Defect Review Tool
DS,Decision Support
DSA,Display System Activity; Dimensionally Stable Anode
DSC,Differential Scanning Calorimetry
DSE,Droplet Surface Etching
DSF,Dead Space Free
DSM,Data Storage Management
DSMC,Direct Simulation Monte Carlo
DSO,Digital Sampling Oscilloscope
DSP,Differential Signal Processing; Digital Signal Processing
DSQ,Downstream Quartz; Decoupled Source Quartz
DSS,Display Stocker Status
DSSC,Dye Sensitized Solar Cell
DSW,Direct Step-On-Wafer
DT,Dynamic Test; Design Technology
DTA,Differential Thermal Analysis
DTC,Direct Thermocouple Control
DTL,Diode Transistor Logic
DTM,Defect Test Monitor; Delay Time Multiplier; Device Test Module; Digital Terrain Map; Demonstration Test Method
DTMPN,Defect Test Monitor Phase Number
DTV,Digital Television
DUF,Diffusion Under Epitaxial Film
DUT,Device Under Test
DUV,Deep Ultraviolet
DUVSE,Deep Ultraviolet Spectroscopic Ellipsometry
DV,Design Verification; Defect Data Volume
DVER,Design Rule Verification
DVI,Digital Video Interactive
DVM,Digital Voltmeter
DVS,Display Vehicle Status
DWG,Domain Work Group
DWN,Dark Wide Normal
DWO,Dark Wide Oblique
DfM,Design For Manufacturability
DfR,Design For Reliability
Dlasoi,Large Area Soi Defects
DoC,Department Of Commerce
DoD,Department Of Defense
DoE,Department Of Energy
Dsasoi,Small Area Soi Defects
Dt,Thermal Budget
Dy,Dysprosium
E,Modulus
E-beam,Electron Beam
E.q.,Exempli Gratia
E/D,Enhanced Depletion; Enhancement/Depletion Mode
E/W,Erase/Write
EAPROM,Electrically Alterable PROM
EAPSM,Enbedded-Attenuated Phase Shift Msk
EAROM,Electrically Alterable Read-Only Memory
EASE,Equipment And Software Emulator
EB,Electron Beam
EBAC,Electron Beam Absorbed Current
EBHT,Electron Beam High Throughput Lithography
EBIC,Electron Beam-Induced Current
EBIV,Electron-Beam-Induced Voltage
EBL,Encapsulated Beam Lead
EBR,Edge Bead Removal; Etchback Rate
EBSD,Electron Backscattering Diffraction
EC,Engineering Change; Equipment Controller
ECA,Engineering Capability Assessment; Elemental Criticality Analysis
ECAD,Electronic Computer-Aided Design; Engineering Computer-Aided Design
ECAE,Electronic Computer-Aided Engineering
ECAG,Equipment Class Application Guideline
ECC,Error Control Coding
ECD,Electron Capture Detector; Electrical Critical Dimension; Electrochemical Deposition
ECL,Emitter Coupled Logic
ECMD,Electrochemical-Mechanical Deposition
ECMP,Electro-Chemical-Mechanical Polishing; Electro-Chemical-Mechanical Planarization
ECN,Engineering Change Notice
ECO,Engineering Change Order; Edge Control Only
ECP,Electrochemical Plating
ECQB,Electrochemical Quartz Crystal Balance
ECR,Electron Cyclotron Resonance
ECTC,Electronic Components and Technology Conference
ECTFE,Ethylene Chlorotrifluoroethylene
ECU,Engine Control Unit
EDA,Electronic Design Automation; Electronic Design And Automation
EDD,Earliest Due Date
EDGE,Enhanced Data Rates For Global Standard For Mobile (Gsm) Evolution
EDI,Electronic Data Interchange
EDIF,Electronic Design Interchange Format
EDP,Electronic Data Processing
EDS,Energy-Dispersive Spectroscopy; Electron-Dispersive Spectroscopy; Energy Dispersive Spectrometers
EDU,Equipment Dependent Uptime
EDX,Energy-Dispersive X Ray
EDXA,Energy-Dispersive X-Ray Analysis
EE,Electrical Engineering
EEDF,Electron Energy Distribution Function
EELS,Electron Energy-Loss Spectroscopy
EEPROM,Electrically Erasable Programmable Read Only Memory
EEROM,Electrically Erasable ROM
EES,Equipment Engineering System
EFA,Electrical Failure Analysis
EFDIA,Failure Detection And Isolation Arrangement
